ID,Gender,Race,Age_at_Release,Residence_PUMA,Gang_Affiliated,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,_v1,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,_v2,_v3,_v4,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Avg_Days_per_DrugTest,DrugTests_THC_Positive,DrugTests_Cocaine_Positive,DrugTests_Meth_Positive,DrugTests_Other_Positive,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3,Training_Sample
1,M,BLACK,43-47,16,No,3,Standard,At least some college,3 or more,Drug,More than 3 years,6,6 or more,1,3,3,4,No,No,3 or more,3,No,2,2 or more,No,No,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,2,612,0,0,0,0,.488562091503268,.4476102941176471,No,No,No,No,No,1
2,M,BLACK,33-37,16,No,6,Specialized,Less than HS diploma,1,Violent/Non-Sex,More than 3 years,7,6 or more,3 or more,0,3,5 or more,Yes,No,3 or more,4 or more,Yes,0,2 or more,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,4 or more,0,0,2,35.66666666666666,0,0,0,0,.4252336448598131,2,No,Yes,No,No,Yes,1
3,M,BLACK,48 or older,24,No,7,High,At least some college,3 or more,Drug,1-2 years,6,6 or more,3 or more,2,2,5 or more,Yes,No,3 or more,2,Yes,1,2 or more,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,4 or more,6,0,0,93.66666666666667,.3333333432674408,0,.1666666716337204,0,0,0,No,Yes,No,Yes,No,1
4,M,WHITE,38-42,16,No,7,High,Less than HS diploma,1,Property,1-2 years,8,6 or more,0,3,3,3,No,No,3 or more,4 or more,No,3 or more,2 or more,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,6,0,3 or more,25.4,0,0,0,0,1,.718996062992126,No,No,No,No,No,1
5,M,WHITE,33-37,16,No,4,Specialized,Less than HS diploma,3 or more,Violent/Non-Sex,1-2 years,4,4,3 or more,2,1,3,Yes,No,1,0,Yes,0,1,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,7,0,0,23.11764705882353,0,0,.0588235296308994,0,.2035623409669211,.9293893129770993,No,Yes,Yes,No,No,1
6,M,WHITE,38-42,17,No,5,Standard,High School Diploma,0,Property,More than 3 years,4,0,1,3,0,0,No,No,1,0,No,2,0,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0,0,0,3 or more,474.6,0,0,0,0,.67425200168563,.3078381795195955,No,No,No,No,No,0
7,M,BLACK,48 or older,18,No,2,Standard,Less than HS diploma,2,,Less than 1 year,10 or more,6 or more,1,5 or more,1,5 or more,No,Yes,3 or more,1,No,3 or more,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,0,0,0,1,238.5,0,0,0,0,0,0,No,Yes,No,No,Yes,1
8,M,BLACK,38-42,16,No,5,High,High School Diploma,3 or more,Drug,Greater than 2 to 3 years,6,6 or more,3 or more,1,2,5 or more,No,No,1,4 or more,Yes,0,2 or more,Yes,No,No,No,No,No,Yes,No,No,No,No,No,0,0,0,0,34.775,0,0,0,0,.4694464414090582,.5251617541337167,No,No,No,No,No,0
9,F,BLACK,43-47,5,,7,High,High School Diploma,0,Drug,Less than 1 year,10 or more,4,2,5 or more,3,3,No,No,2,4 or more,No,3 or more,2 or more,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,0,0,0,0,,,,,,0,0,Yes,Yes,Yes,No,No,1
10,M,BLACK,43-47,16,No,5,Standard,High School Diploma,3 or more,Property,More than 3 years,10 or more,6 or more,3 or more,5 or more,2,5 or more,Yes,Yes,3 or more,4 or more,Yes,3 or more,2 or more,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,0,0,0,0,27.8,0,0,0,0,.3597122302158273,1,No,Yes,Yes,No,No,1
11,M,WHITE,43-47,5,No,3,Specialized,Less than HS diploma,1,Violent/Non-Sex,1-2 years,3,6 or more,2,1,1,3,Yes,No,0,3,No,0,0,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,0,9,2,2,42.8,.300000011920929,0,.300000011920929,0,1,3.413551401869159,Yes,Yes,No,Yes,No,1
12,M,BLACK,33-37,16,No,5,Specialized,High School Diploma,3 or more,Other,1-2 years,10 or more,1,1,1,2,3,No,No,3 or more,1,No,0,2 or more,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,4 or more,10 or more,0,0,8.039999999999999,.0399999991059303,0,.0799999982118607,0,0,0,Yes,Yes,Yes,No,No,0
13,M,WHITE,48 or older,18,No,3,Standard,Less than HS diploma,1,Property,More than 3 years,8,4,0,5 or more,2,1,No,No,1,0,No,2,1,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,1,,0,0,.0160550456494093,.0022935778833926,0,,No,No,No,No,No,1
14,M,BLACK,33-37,3,Yes,7,,High School Diploma,0,Drug,1-2 years,10 or more,3,1,1,5 or more,5 or more,No,No,0,1,Yes,1,2 or more,No,No,No,No,No,Yes,No,Yes,No,No,No,No,0,10 or more,0,1,,,,,,1,1,No,Yes,Yes,No,No,1
15,M,WHITE,33-37,5,No,7,Standard,Less than HS diploma,1,Violent/Non-Sex,Greater than 2 to 3 years,9,3,2,2,4,4,No,Yes,3 or more,2,Yes,1,1,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,6,0,1,98.75,0,0,0,0,0,0,Yes,No,No,No,No,0
16,M,BLACK,33-37,3,No,4,Standard,Less than HS diploma,3 or more,,More than 3 years,4,6 or more,0,0,3,4,No,Yes,2,4 or more,No,0,2 or more,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,0,2,0,0,74.5,0,0,0,0,.3389261744966443,.6128355704697986,No,No,No,No,No,0
17,M,BLACK,38-42,16,No,6,High,Less than HS diploma,3 or more,Property,1-2 years,10 or more,5,2,3,3,4,Yes,No,3 or more,4 or more,Yes,1,2 or more,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,10 or more,0,0,114.5,0,0,0,0,.5458515283842795,2,No,Yes,Yes,No,No,1
18,M,WHITE,43-47,24,No,1,Standard,High School Diploma,3 or more,Property,Less than 1 year,10 or more,6 or more,0,5 or more,0,5 or more,Yes,Yes,3 or more,2,No,3 or more,0,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,0,0,0,2,,,,,,.4521384928716904,.7438900203665988,No,Yes,No,Yes,No,1
19,M,BLACK,48 or older,12,No,7,High,At least some college,3 or more,Property,More than 3 years,10 or more,4,0,5 or more,0,5 or more,No,No,3 or more,3,No,2,0,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,0,0,2,43.66666666666666,0,0,0,0,.9185750636132316,.4646946564885496,No,No,No,No,No,1
20,M,WHITE,48 or older,16,No,3,Standard,Less than HS diploma,0,Property,1-2 years,10 or more,6 or more,0,5 or more,1,5 or more,No,Yes,2,4 or more,No,3 or more,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,4 or more,0,0,1,228,0,0,0,0,.7947368421052632,.3203947368421052,No,Yes,No,No,Yes,1
21,M,BLACK,38-42,5,No,3,Standard,High School Diploma,3 or more,Violent/Non-Sex,Less than 1 year,6,6 or more,3 or more,1,0,3,Yes,No,3 or more,2,Yes,0,0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,0,1,0,0,,,,,,1,2,No,No,No,No,No,1
22,M,BLACK,33-37,16,No,5,Standard,Less than HS diploma,3 or more,Drug,1-2 years,10 or more,6 or more,0,1,5 or more,5 or more,No,No,2,4 or more,No,0,2 or more,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,0,6,0,0,22.85,.0500000007450581,0,0,0,1,3.196936542669584,No,No,No,No,No,1
23,F,WHITE,48 or older,5,,4,,High School Diploma,0,Violent/Non-Sex,1-2 years,2,6 or more,3 or more,5 or more,0,1,Yes,No,2,2,Yes,1,0,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,0,6,0,0,15.5,0,0,.0555555559694767,0,0,0,No,No,No,No,No,0
24,F,WHITE,43-47,16,,5,Standard,Less than HS diploma,0,Other,1-2 years,10 or more,6 or more,3 or more,5 or more,1,5 or more,Yes,No,3 or more,3,No,2,1,Yes,No,No,No,No,Yes,No,No,No,No,No,No,0,0,0,1,,,,,,.9913793103448276,1,No,No,No,No,No,1
